combination,combination_str,n_models,accuracy,thresholds,thresholds_str
['VGG16'],VGG16,1,0.9205723843151831,[0.20039353],0.2004
"['MobileNetV2', 'ResNetV2', 'VGG16']",MobileNetV2+ResNetV2+VGG16,3,0.8936814718453819,"[0.97537714, 0.97118604, 0.20039353]","0.9754, 0.9712, 0.2004"
"['InceptionV3', 'ResNetV2', 'VGG16']",InceptionV3+ResNetV2+VGG16,3,0.8925664374651552,"[0.97402906, 0.97118604, 0.20039353]","0.9740, 0.9712, 0.2004"
"['ResNetV2', 'VGG16', 'Xception']",ResNetV2+VGG16+Xception,3,0.8844452703958372,"[0.97118604, 0.20039353, 0.93454367]","0.9712, 0.2004, 0.9345"
"['InceptionV3', 'ResNetV2', 'VGG16', 'Xception']",InceptionV3+ResNetV2+VGG16+Xception,4,0.8742612897230998,"[0.97402906, 0.97118604, 0.20039353, 0.93454367]","0.9740, 0.9712, 0.2004, 0.9345"
"['ResNetV2', 'VGG16']",ResNetV2+VGG16,2,0.8683330236015611,"[0.97118604, 0.20039353]","0.9712, 0.2004"
"['InceptionV3', 'MobileNetV2', 'ResNetV2', 'VGG16']",InceptionV3+MobileNetV2+ResNetV2+VGG16,4,0.8656383571826798,"[0.97402906, 0.97537714, 0.97118604, 0.20039353]","0.9740, 0.9754, 0.9712, 0.2004"
"['MobileNetV2', 'ResNetV2', 'VGG16', 'Xception']",MobileNetV2+ResNetV2+VGG16+Xception,4,0.8622560862293254,"[0.97537714, 0.97118604, 0.20039353, 0.93454367]","0.9754, 0.9712, 0.2004, 0.9345"
"['InceptionV3', 'MobileNetV2', 'ResNetV2', 'VGG16', 'Xception']",InceptionV3+MobileNetV2+ResNetV2+VGG16+Xception,5,0.8615498977885151,"[0.97402906, 0.97537714, 0.97118604, 0.20039353, 0.93454367]","0.9740, 0.9754, 0.9712, 0.2004, 0.9345"
"['InceptionV3', 'MobileNetV2', 'VGG16']",InceptionV3+MobileNetV2+VGG16,3,0.849414606950381,"[0.97402906, 0.97537714, 0.20039353]","0.9740, 0.9754, 0.2004"
"['MobileNetV2', 'VGG16', 'Xception']",MobileNetV2+VGG16+Xception,3,0.8468686117821966,"[0.97537714, 0.20039353, 0.93454367]","0.9754, 0.2004, 0.9345"
"['InceptionV3', 'VGG16', 'Xception']",InceptionV3+VGG16+Xception,3,0.8354209254785356,"[0.97402906, 0.20039353, 0.93454367]","0.9740, 0.2004, 0.9345"
"['VGG16', 'Xception']",VGG16+Xception,2,0.8342129715666233,"[0.20039353, 0.93454367]","0.2004, 0.9345"
"['MobileNetV2', 'VGG16']",MobileNetV2+VGG16,2,0.8336554543765099,"[0.97537714, 0.20039353]","0.9754, 0.2004"
['ResNetV2'],ResNetV2,1,0.8311094592083256,[0.97118604],0.9712
"['InceptionV3', 'MobileNetV2', 'VGG16', 'Xception']",InceptionV3+MobileNetV2+VGG16+Xception,4,0.8307377810815834,"[0.97402906, 0.97537714, 0.20039353, 0.93454367]","0.9740, 0.9754, 0.2004, 0.9345"
"['InceptionV3', 'VGG16']",InceptionV3+VGG16,2,0.8216688347890727,"[0.97402906, 0.20039353]","0.9740, 0.2004"
"['InceptionV3', 'MobileNetV2', 'ResNetV2']",InceptionV3+MobileNetV2+ResNetV2,3,0.8081583348819922,"[0.97402906, 0.97537714, 0.97118604]","0.9740, 0.9754, 0.9712"
"['InceptionV3', 'ResNetV2', 'Xception']",InceptionV3+ResNetV2+Xception,3,0.803140680170972,"[0.97402906, 0.97118604, 0.93454367]","0.9740, 0.9712, 0.9345"
"['MobileNetV2', 'ResNetV2', 'Xception']",MobileNetV2+ResNetV2+Xception,3,0.7971194945177477,"[0.97537714, 0.97118604, 0.93454367]","0.9754, 0.9712, 0.9345"
"['InceptionV3', 'MobileNetV2', 'ResNetV2', 'Xception']",InceptionV3+MobileNetV2+ResNetV2+Xception,4,0.7966363129529828,"[0.97402906, 0.97537714, 0.97118604, 0.93454367]","0.9740, 0.9754, 0.9712, 0.9345"
"['ResNetV2', 'Xception']",ResNetV2+Xception,2,0.7770302917673295,"[0.97118604, 0.93454367]","0.9712, 0.9345"
"['MobileNetV2', 'ResNetV2']",MobileNetV2+ResNetV2,2,0.7768630366102954,"[0.97537714, 0.97118604]","0.9754, 0.9712"
"['InceptionV3', 'ResNetV2']",InceptionV3+ResNetV2,2,0.7617914885708976,"[0.97402906, 0.97118604]","0.9740, 0.9712"
"['InceptionV3', 'MobileNetV2', 'Xception']",InceptionV3+MobileNetV2+Xception,3,0.7506225608622933,"[0.97402906, 0.97537714, 0.93454367]","0.9740, 0.9754, 0.9345"
['MobileNetV2'],MobileNetV2,1,0.736498792046088,[0.97537714],0.9754
"['MobileNetV2', 'Xception']",MobileNetV2+Xception,2,0.7222077680728489,"[0.97537714, 0.93454367]","0.9754, 0.9345"
['Xception'],Xception,1,0.7095335439509385,[0.93454367],0.9345
"['InceptionV3', 'MobileNetV2']",InceptionV3+MobileNetV2,2,0.6970451588923992,"[0.97402906, 0.97537714]","0.9740, 0.9754"
['InceptionV3'],InceptionV3,1,0.689723099795577,[0.97402906],0.9740
"['InceptionV3', 'Xception']",InceptionV3+Xception,2,0.6810072477234714,"[0.97402906, 0.93454367]","0.9740, 0.9345"
